date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:48	719/719	---MC-	200	added ('OK')	text/plain	date:Sun,%2003%20Mar%202024%2015:37:47%20GMT	https://www.ranchofaria.com.br/robots.txt		(from )
12:37:48	19043/19043	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2015:37:47%20GMT	https://www.ranchofaria.com.br/	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/index.html	(from )
12:37:49	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%228c237312864d2e4c4f03544cd4f9b195%22	http://netdna.bootstrapcdn.com/bootstrap/3.3.4/js/bootstrap.min.js	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/netdna.bootstrapcdn.com/bootstrap/3.3.4/js/bootstrap.min.js	(from https://www.ranchofaria.com.br/)
12:37:49	5300/5300	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:%2265993750-14b4%22	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css	(from https://www.ranchofaria.com.br/)
12:37:49	5142/5142	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%2265e15929-239b%22	http://pingendo.github.io/pingendo-bootstrap/themes/default/bootstrap.css	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/pingendo.github.io/pingendo-bootstrap/themes/default/bootstrap.3.delayed	(from https://www.ranchofaria.com.br/)
12:37:49	4895/4895	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202015%2000:31:57%20GMT	https://www.ranchofaria.com.br/arquivos/themes/ranchofaria/fancybox/jquery.fancybox.css	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/arquivos/themes/ranchofaria/fancybox/jquery.fancybox.css	(from https://www.ranchofaria.com.br/)
12:37:50	48706/48706	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202015%2000:31:57%20GMT	https://www.ranchofaria.com.br/arquivos/themes/ranchofaria/fancybox/jquery.fancybox.js	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/arquivos/themes/ranchofaria/fancybox/jquery.fancybox.js	(from https://www.ranchofaria.com.br/)
12:37:51	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Fri,%2014%20Aug%202015%2014:22:54%20GMT	https://www.ranchofaria.com.br/arquivos/themes/ranchofaria/favicon.ico	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/arquivos/themes/ranchofaria/favicon.ico	(from https://www.ranchofaria.com.br/)
12:37:51	22381/22381	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Oct%202015%2019:35:43%20GMT	https://www.ranchofaria.com.br/arquivos/themes/ranchofaria/css/style.css	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/arquivos/themes/ranchofaria/css/style.css	(from https://www.ranchofaria.com.br/)
12:37:51	596/596	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Mar%202024%2015:37:51%20GMT	https://www.ranchofaria.com.br/v/	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/v/index.html	(from https://www.ranchofaria.com.br/)
12:37:51	809/809	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Jan%202016%2022:03:28%20GMT	https://www.ranchofaria.com.br/arquivos/plugins/advanced-responsive-video-embedder/public/advanced-responsive-video-embedder-public.css?ver=6.3.9	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/arquivos/plugins/advanced-responsive-video-embedder/public/advanced-responsive-video-embedder-public8993.css	(from https://www.ranchofaria.com.br/)
12:37:51	1099/1099	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Jan%202016%2022:03:29%20GMT	https://www.ranchofaria.com.br/arquivos/plugins/contact-form-7/includes/css/styles.css?ver=4.3.1	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/arquivos/plugins/contact-form-7/includes/css/styles5b31.css	(from https://www.ranchofaria.com.br/)
12:37:51	80574/80574	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Nov%202021%2019:36:21%20GMT	https://www.ranchofaria.com.br/wp-includes/css/dist/block-library/style.min.css?ver=5.8.6	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/wp-includes/css/dist/block-library/style.min6281.css	(from https://www.ranchofaria.com.br/)
12:37:52	8564/8564	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202015%2000:32:31%20GMT	https://www.ranchofaria.com.br/arquivos/themes/ranchofaria/js/scrollReveal.min.js?ver=5.8.6	C:/Users/Leona/OneDrive/Desktop/Projetos%20DEV/Rancho%20Cana%c3%a3/Rancho%20Cana%c3%a3/www.ranchofaria.com.br/arquivos/themes/ranchofaria/js/scrollReveal.min6281.js	(from https://www.ranchofaria.com.br/)
